Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK;shooting_Nation;shooting_Pos;shooting_Squad;shooting_Comp;shooting_Age;shooting_Born;shooting_90s;shooting_Gls;shooting_Sh;shooting_SoT;shooting_SoT%;shooting_Sh/90;shooting_SoT/90;shooting_G/Sh;shooting_G/SoT;shooting_Dist;shooting_PK;shooting_PKatt;passing_Nation;passing_Pos;passing_Squad;passing_Comp;passing_Age;passing_Born;passing_90s;passing_Cmp;passing_Att;passing_Cmp%;passing_TotDist;passing_PrgDist;passing_Cmp_5;passing_Att_6;passing_Cmp%_7;passing_Cmp_8;passing_Att_9;passing_Cmp%_10;passing_Cmp_11;passing_Att_12;passing_Cmp%_13;passing_Ast;passing_A-xAG;passing_KP;passing_1/3;passing_PPA;passing_CrsPA;passing_types_Nation;passing_types_Pos;passing_types_Squad;passing_types_Comp;passing_types_Age;passing_types_Born;passing_types_90s;passing_types_Att;passing_types_Live;passing_types_Dead;passing_types_FK;passing_types_TB;passing_types_Sw;passing_types_Crs;passing_types_TI;passing_types_CK;passing_types_In;passing_types_Out;passing_types_Str;passing_types_Cmp;passing_types_Off;passing_types_Blocks;gca_Nation;gca_Pos;gca_Squad;gca_Comp;gca_Age;gca_Born;gca_90s;gca_SCA;gca_SCA90;gca_PassLive;gca_PassDead;gca_TO;gca_Sh;gca_Fld;gca_Def;gca_GCA;gca_GCA90;gca_PassLive_14;gca_PassDead_15;gca_TO_16;gca_Sh_17;gca_Fld_18;gca_Def_19;defense_Nation;defense_Pos;defense_Squad;defense_Comp;defense_Age;defense_Born;defense_90s;defense_Tkl;defense_TklW;defense_Def 3rd;defense_Mid 3rd;defense_Att 3rd;defense_Tkl_20;defense_Att;defense_Tkl%;defense_Lost;defense_Blocks;defense_Sh;defense_Pass;defense_Int;defense_Tkl+Int;defense_Clr;defense_Err;possession_Nation;possession_Pos;possession_Squad;possession_Comp;possession_Age;possession_Born;possession_90s;possession_Touches;possession_Def Pen;possession_Def 3rd;possession_Mid 3rd;possession_Att 3rd;possession_Att Pen;possession_Live;possession_Att;possession_Succ;possession_Succ%;possession_Tkld;possession_Tkld%;possession_Carries;possession_TotDist;possession_PrgDist;possession_1/3;possession_CPA;possession_Mis;possession_Dis;possession_Rec;playingtime_Nation;playingtime_Pos;playingtime_Squad;playingtime_Comp;playingtime_Age;playingtime_Born;playingtime_MP;playingtime_Min;playingtime_Mn/MP;playingtime_Min%;playingtime_90s;playingtime_Starts;playingtime_Mn/Start;playingtime_Compl;playingtime_Subs;playingtime_Mn/Sub;playingtime_unSub;playingtime_PPM;playingtime_onG;playingtime_onGA;playingtime_+/-;playingtime_+/-90;playingtime_On-Off;misc_Nation;misc_Pos;misc_Squad;misc_Comp;misc_Age;misc_Born;misc_90s;misc_CrdY;misc_CrdR;misc_2CrdY;misc_Fls;misc_Fld;misc_Off;misc_Crs;misc_Int;misc_TklW;misc_PKwon;misc_PKcon;misc_OG
Brayan Véjar;cl CHI;DF;Palestino;Primera Division Chile;27;1995;19;15;1,319;147;0;3;3;0;0;0;1;0;0;20;20;0;20;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;0;17;5;294;116;34;0;0;0;0;0;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;0;21;0;0;0;0;0;0;0;0;0;0;19;0;0;0;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Palestino;Primera Division Chile;27;1995;19;1,319;69;489;147;15;84;10;4;15;1;163;26;17;9;61;81;cl CHI;DF;Palestino;Primera Division Chile;27;1995;147;1;0;0;11;3;1;52;19;21;0;0;0
Lucas Assadi;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;25;13;1,18;131;3;0;3;3;0;0;1;1;23;0;23;23;23;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;3;21;8;381;160;61;14;38;0;0;0;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;0;3;0;0;0;0;0;0;0;0;0;0;7;0;0;0;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;25;1,18;47;437;131;13;74;0;12;18;1;128;17;26;-9;-69;-110;cl CHI;MF,FW;U de Chile;Primera Division Chile;19;2004;131;1;1;0;3;18;1;27;7;3;0;0;0
Israel Poblete;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;27;24;2,106;234;2;1;3;2;0;0;2;0;9;4;13;9;13;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;2;39;12;308;167;51;5;17;0;0;0;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;0;30;0;0;0;0;0;0;0;0;0;0;17;0;0;0;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;27;2,106;78;780;234;24;85;16;3;18;1;141;32;27;5;21;127;cl CHI;MF;U de Chile;Primera Division Chile;27;1995;234;2;0;0;39;45;4;90;17;30;0;0;0
Simón Ramírez;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;25;22;2,01;223;0;3;3;0;0;0;3;0;0;13;13;0;13;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;0;10;2;200;45;9;0;0;0;0;0;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;0;39;0;0;0;0;0;0;0;0;0;0;22;0;0;0;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;25;2,01;80;744;223;22;89;18;3;21;0;112;25;29;-4;-18;-122;cl CHI;DF;Unión Española;Primera Division Chile;24;1998;223;3;0;0;11;6;1;86;22;39;0;0;0
Eugenio Mena;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;21;20;1,707;190;1;2;3;1;0;0;5;0;5;11;16;5;16;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;1;6;4;667;32;21;17;25;0;0;0;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;0;29;0;0;0;0;0;0;0;0;0;0;27;0;0;0;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;21;1,707;81;632;190;20;84;12;1;18;0;129;28;28;0;0;-45;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;190;5;0;0;10;21;3;50;27;29;0;0;0
Salvador Sánchez;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;24;24;2,155;239;2;0;2;2;0;0;7;1;8;0;8;8;8;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;2;22;8;364;92;33;9;25;0;0;0;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;0;25;0;0;0;0;0;0;0;0;0;0;55;0;0;0;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;24;2,155;90;798;239;24;90;23;0;0;4;167;36;29;7;29;128;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;239;7;1;0;19;13;1;2;55;25;0;0;0
Clemente Montes;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;15;13;986;110;1;2;3;1;0;0;3;0;9;18;27;9;27;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;1;22;6;273;201;55;5;17;0;0;0;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;0;16;0;0;0;0;0;0;0;0;0;0;6;0;0;0;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;15;986;66;365;110;13;70;2;2;38;0;127;15;13;2;18;3;cl CHI;FW,MF;Univ Católica;Primera Division Chile;21;2001;110;3;0;0;19;26;0;18;6;16;0;0;0
Michael Fuentes;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;24;17;1,536;171;1;1;2;1;0;0;6;2;6;6;12;6;12;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;1;38;12;316;223;70;3;8;0;0;0;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;0;19;0;0;0;0;0;0;0;0;0;0;14;0;0;0;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;24;1,536;64;569;171;17;79;8;7;27;0;129;20;20;0;0;54;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;171;6;2;0;28;19;10;35;14;19;0;0;0
Ignacio Fuenzalida;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;3;2;117;13;2;0;2;2;0;0;0;0;154;0;154;154;154;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;2;3;3;1000;231;231;67;67;0;0;0;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;3;117;39;43;13;2;56;0;1;5;1;100;3;4;-1;-77;-56;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;13;0;0;0;0;1;0;0;0;1;0;0;0
César Fuentes;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;25;22;1,963;218;2;0;2;2;0;0;3;0;9;0;9;9;9;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;2;18;2;111;83;9;11;100;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;0;34;0;0;0;0;0;0;0;0;0;0;28;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;25;1,963;79;727;218;22;84;17;3;35;2;156;34;23;11;50;-11;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;218;3;0;0;18;15;1;34;28;34;0;0;0
Bruno Gutiérrez;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;10;8;628;70;0;2;2;0;0;0;1;1;0;29;29;0;29;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;0;6;1;167;86;14;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;0;11;0;0;0;0;0;0;0;0;0;0;12;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;10;628;63;233;70;8;71;2;2;32;4;200;14;6;8;115;80;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;70;1;1;0;13;8;0;15;12;11;0;0;0
Óscar Opazo;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;10;6;600;67;1;1;2;1;0;0;3;0;15;15;30;15;30;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;1;8;4;500;120;60;13;25;0;0;0;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;0;8;0;0;0;0;0;0;0;0;0;0;5;0;0;0;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;10;600;60;222;67;6;77;3;4;34;1;180;4;4;0;0;-69;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;67;3;0;0;7;5;1;11;5;8;0;0;0
Alexander Oroz;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;13;2;369;41;2;0;2;2;0;0;1;0;49;0;49;49;49;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;2;8;3;375;195;73;25;67;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;13;369;28;137;41;2;76;0;11;20;1;138;5;9;-4;-98;-175;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;41;1;0;0;10;5;4;2;0;3;0;0;0
Franco Bechtholdt;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;23;20;1,775;197;0;0;0;0;0;0;7;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;0;8;1;125;41;5;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;0;30;0;0;0;0;0;0;0;0;0;0;23;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;23;1,775;77;657;197;20;83;17;3;37;0;83;18;39;-21;-106;-38;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;197;7;0;0;19;9;2;4;23;30;0;0;1
Pablo Parra;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;8;6;487;54;0;2;2;0;0;0;0;0;0;37;37;0;37;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;14;3;214;259;55;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;8;487;61;180;54;6;75;1;2;18;1;200;5;3;2;37;-20;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;54;0;0;0;5;8;0;8;0;5;0;0;0
Vicente Pizarro;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;24;20;1,532;170;2;0;2;2;0;0;2;0;12;0;12;12;12;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;2;22;7;318;129;41;9;29;0;0;0;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;0;24;0;0;0;0;0;0;0;0;0;0;16;0;0;0;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;24;1,532;64;567;170;20;71;9;4;28;2;179;19;15;4;23;-69;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;170;2;0;0;12;17;1;11;16;24;0;0;0
Matías Cahais;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;17;17;1,497;166;0;1;1;0;0;0;2;1;0;6;6;0;6;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;0;2;0;0;12;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;0;14;0;0;0;0;0;0;0;0;0;0;35;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;17;1,497;88;554;166;17;88;16;0;0;1;76;16;30;-14;-84;21;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;166;2;1;0;8;6;0;1;35;14;0;0;0
Federico Castro;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;21;14;1,342;149;5;2;7;1;4;5;5;0;34;13;47;7;20;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;5;24;12;500;161;80;4;8;0;4;5;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;21;1,342;64;497;149;14;83;8;7;26;0;100;13;28;-15;-101;-14;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;149;5;0;0;8;35;10;38;5;5;0;0;0
Joe Abrigo;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;7;1;195;22;2;0;2;1;1;1;1;0;92;0;92;46;46;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;2;8;5;625;369;231;13;20;0;1;1;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;7;195;28;72;22;1;78;0;6;20;0;214;5;3;2;92;96;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;22;1;0;0;3;8;0;7;1;1;0;0;0
Diego Coelho;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;30;18;1,719;191;8;1;9;8;0;0;3;0;42;5;47;42;47;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;8;50;16;320;262;84;16;50;0;0;0;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;30;1,719;57;637;191;18;81;11;12;22;0;77;20;38;-18;-94;-2;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;191;3;0;0;17;11;8;7;1;6;0;0;0
