Jugadores,Nac.,Edad,Club,Liga,Contrato,Opción de contrato,Valor de mercado,Posición,Agencia
Jimmy Martínez,Chile,27,CD Huachipato,,2025,-,650 mil €,Mediocentro,Vibra Fútbol
Jhamir D'Arrigo,Perú,24,Club Alianza Lima,,2027,-,650 mil €,Extremo izquierdo,Vibra Fútbol
Ángelo Henríquez,Chile,30,PAS Lamia 1964,1.Liga Grecia,2025,-,600 mil €,Delantero centro,Vibra Fútbol
Branco Ampuero,Chile,31,CD Universidad Católica,,2025,-,600 mil €,Defensa central,Vibra Fútbol
Matías Fernández,Chile,29,Independiente del Valle,,-,-,600 mil €,Interior derecho,Vibra Fútbol
Luis Pavez Muñoz,Chile,29,Unión Española,,2024,-,600 mil €,Lateral izquierdo,Vibra Fútbol
Ignacio Vásquez,Chile,18,Universidad de Chile,,2025,-,600 mil €,Extremo izquierdo,Vibra Fútbol
Alec Deneumostier,"Perú, Bélgica",25,Universidad César Vallejo,,2024,-,600 mil €,Defensa central,Vibra Fútbol
Adrián Fernández,Paraguay,32,Alianza Atlético Sullana,,2024,-,500 mil €,Delantero centro,Vibra Fútbol
Marco Collao,Chile,26,Audax Italiano,,-,-,500 mil €,Mediocentro,Vibra Fútbol
Ricardo Lagos,Perú,28,Club Alianza Lima,,2025,-,500 mil €,Lateral izquierdo,Vibra Fútbol
Segundo Portocarrero,Ecuador,28,Universitario de Deportes,,2024,Opción de compra,500 mil €,Lateral izquierdo,Vibra Fútbol
Jeison Fuentealba,Chile,21,Universidad de Concepción,,2024,-,500 mil €,Mediocentro,Vibra Fútbol
Alexander Oroz,Chile,21,CSD Colo-Colo,,2025,-,500 mil €,Extremo izquierdo,Vibra Fútbol
Martín Parra,Chile,24,CD Huachipato,,-,-,500 mil €,Portero,Vibra Fútbol
Claudio Sepúlveda,Chile,32,CD Huachipato,,-,-,450 mil €,Pivote,Vibra Fútbol
Cris Martínez,"Paraguay, Chile",31,CD Huachipato,,-,-,450 mil €,Extremo izquierdo,Vibra Fútbol
Esteban Moreira,Chile,22,CD O'Higgins,,2024,-,450 mil €,Delantero centro,Vibra Fútbol
Leandro Díaz,Chile,25,CD Huachipato,,2024,-,450 mil €,Lateral izquierdo,Vibra Fútbol
Juan Carlos Gonzáles,Perú,21,Asociación Deportiva Tarma,,-,-,450 mil €,Extremo izquierdo,Vibra Fútbol
Franco Saravia,Perú,25,Club Alianza Lima,,-,-,450 mil €,Portero,Vibra Fútbol
