Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK
Maximiliano Quinteros;ar ARG;FW;Deportes Copiapó;Primera Division Chile;33;1989;30;24;2087;232;8;1;9;8;0;1;3;0;34;4;39;34;39
Yorman Zapata;co COL;FW,MF;Deportes Magallanes;Primera Division Chile;22;2000;26;23;2078;231;4;2;6;4;0;0;10;0;17;9;26;17;26
César Munder;cu CUB;MF,FW;Cobresal;Primera Division Chile;23;2000;28;25;2077;231;5;3;8;5;0;0;10;0;22;13;35;22;35
Cecilio Waterman;pa PAN;FW;Cobresal;Primera Division Chile;31;1991;25;24;2075;231;10;2;12;5;5;5;8;0;43;9;52;22;30
Jonathan Villagra;cl CHI;DF;Unión Española;Primera Division Chile;21;2001;26;22;2062;229;0;0;0;0;0;0;6;0;0;0;0;0;0
Fernando Piñero;ar ARG;DF;Deportes Magallanes;Primera Division Chile;29;1993;27;22;2055;228;3;0;3;3;0;0;7;0;13;0;13;13;13
Carlos Labrín;cl CHI;DF;Audax Italiano;Primera Division Chile;32;1990;23;23;2041;227;0;0;0;0;0;0;10;2;0;0;0;0;0
Juan Leiva;cl CHI;MF,FW;Ñublense;Primera Division Chile;29;1993;29;22;2038;226;0;1;1;0;0;0;4;1;0;4;4;0;4
Joaquín Gutierrez;cl CHI;DF;Huachipato;Primera Division Chile;20;2002;29;22;2037;226;0;2;2;0;0;0;1;0;0;9;9;0;9
Christian Vilches;cl CHI;DF;Deportes Magallanes;Primera Division Chile;39;1983;24;23;2027;225;1;0;1;1;0;0;3;0;4;0;4;4;4
Maximiliano Rodríguez;cl CHI;FW;Huachipato;Primera Division Chile;22;2000;28;24;2027;225;7;2;9;7;0;0;3;0;31;9;40;31;40
Agustín Nadruz;uy URU;MF,DF;Curico Unido;Primera Division Chile;26;1996;26;24;2014;224;0;0;0;0;0;0;7;0;0;0;0;0;0
Sebastián Pérez Kirby;cl CHI;GK;Unión Española;Primera Division Chile;32;1990;23;23;2012;224;0;0;0;0;0;0;5;1;0;0;0;0;0
Bernardo Cerezo;cl CHI;DF;Ñublense;Primera Division Chile;28;1995;25;22;2011;223;1;4;5;1;0;0;9;1;4;18;22;4;22
Gonzalo Montes;uy URU;MF;Huachipato;Primera Division Chile;28;1994;25;22;2005;223;8;3;11;7;1;1;8;1;36;13;49;31;45
Giovanni Campusano;cl CHI;DF,MF;Ñublense;Primera Division Chile;30;1993;25;24;2005;223;0;3;3;0;0;0;5;1;0;13;13;0;13
Yerko Leiva;cl CHI;MF;Curico Unido;Primera Division Chile;24;1998;27;25;1989;221;2;0;2;2;0;1;2;1;9;0;9;9;9
Cristián Suárez;cl CHI;DF;Palestino;Primera Division Chile;35;1987;23;22;1987;221;1;0;1;1;0;0;2;0;5;0;5;5;5
Leonardo Valencia;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;28;24;1984;220;6;6;12;5;1;1;6;0;27;27;54;23;50
Iván Rozas;cl CHI;MF;Deportes Copiapó;Primera Division Chile;24;1998;29;23;1979;220;1;0;1;1;0;0;5;0;5;0;5;5;5
Esteban Matus;cl CHI;DF;Audax Italiano;Primera Division Chile;20;2002;28;21;1968;219;0;1;1;0;0;0;4;0;0;5;5;0;5
César Fuentes;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;25;22;1963;218;2;0;2;2;0;0;3;0;9;0;9;9;9
Matías Zaldivia;cl CHI;DF;U de Chile;Primera Division Chile;32;1991;23;23;1959;218;0;1;1;0;0;0;8;2;0;5;5;0;5
Esteban Valencia;cl CHI;MF,DF;La Calera;Primera Division Chile;23;1999;27;24;1958;218;0;0;0;0;0;0;9;1;0;0;0;0;0
Ariel Uribe;cl CHI;MF;Unión Española;Primera Division Chile;23;1999;26;23;1945;216;5;2;7;5;0;0;1;0;23;9;32;23;32
Dilan Zúñiga;cl CHI;DF;Palestino;Primera Division Chile;26;1996;23;21;1936;215;1;1;2;1;0;0;3;0;5;5;9;5;9
Ignacio Núñez;cl CHI;MF;Unión Española;Primera Division Chile;32;1991;25;22;1907;212;1;4;5;1;0;0;3;0;5;19;24;5;24
Nelson Espinoza;cl CHI;GK;Deportes Copiapó;Primera Division Chile;27;1995;22;22;1906;212;0;0;0;0;0;0;4;0;0;0;0;0;0
Fernando Cornejo Miranda;cl CHI;MF;Palestino;Primera Division Chile;27;1995;28;24;1869;208;5;2;7;5;0;0;4;0;24;10;34;24;34
Pablo Hernández;cl CHI;MF,FW;O'Higgins;Primera Division Chile;36;1986;25;20;1855;206;0;1;1;0;0;1;7;0;0;5;5;0;5
