Jugadores,Nac.,Edad,Club,Contrato,Valor de mercado,Posición,Agencia
Esteban Matus,Chile,22,Audax Italiano,-,350 mil €,Lateral izquierdo,Vibra Fútbol
Javier Quiñones,Chile,22,Audax Italiano,2024,50 mil €,Delantero centro,Vibra Fútbol
Gonzalo Tapia,"Chile, Francia",22,CD Universidad Católica,2024,"1,80 mill. €",Extremo derecho,Vibra Fútbol
Cristóbal Muñoz,"Chile, Italia",22,Universidad de Chile,2024,300 mil €,Delantero centro,Vibra Fútbol
Vicente Pizarro,Chile,21,CSD Colo-Colo,2024,"3,00 mill. €",Pivote,Vibra Fútbol
Marcelo Morales,Chile,21,Universidad de Chile,2024,"2,20 mill. €",Lateral izquierdo,Vibra Fútbol
César Pérez,Chile,21,CSD Defensa y Justicia,2028,"2,00 mill. €",Mediocentro,Vibra Fútbol
Lucas Cepeda,Chile,21,CSD Colo-Colo,2026,800 mil €,Extremo izquierdo,Vibra Fútbol
,,,,,,,
Alexander Oroz,Chile,21,CSD Colo-Colo,2025,500 mil €,Extremo izquierdo,Vibra Fútbol
Paolo Guajardo,Chile,21,Audax Italiano,2027,400 mil €,Extremo izquierdo,Vibra Fútbol
Diego Ulloa,Chile,21,Unión La Calera,2024,350 mil €,Lateral izquierdo,Vibra Fútbol
Maicol León,Chile,21,CD Huachipato,2024,300 mil €,Mediocentro,Vibra Fútbol
Maximiliano Gutiérrez,Chile,20,CD Huachipato,-,"1,20 mill. €",Lateral derecho,Vibra Fútbol
Joaquín Tapia,Chile,20,CD O'Higgins,-,300 mil €,Extremo derecho,Vibra Fútbol
Alberto Letelier,Chile,20,CD O'Higgins,-,75 mil €,Mediocentro ofensivo,Vibra Fútbol
Damián Pizarro,Chile,19,Udinese,2029,"6,50 mill. €",Delantero centro,Vibra Fútbol
Sergio Carrasco,Chile,19,CD Cobresal,2025,400 mil €,Delantero centro,Vibra Fútbol
Ian Garguez,Chile,19,CD Palestino,-,300 mil €,Lateral derecho,Vibra Fútbol
Juan Francisco Rossel,"Chile, Ecuador",19,CD Universidad Católica,-,150 mil €,Mediocentro ofensivo,Vibra Fútbol
Ignacio Vásquez,Chile,18,Universidad de Chile,2025,600 mil €,Extremo izquierdo,Vibra Fútbol
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Jeison Murillo,"Colombia, España",32,Al-Shamal SC,2025,800 mil €,Defensa central,Vibra Fútbol
Luis Cano,Ecuador,25,SD Aucas,2026,800 mil €,Extremo izquierdo,Vibra Fútbol
Segundo Portocarrero,Ecuador,28,Universitario de Deportes,2024,500 mil €,Lateral izquierdo,Vibra Fútbol
Elkin Muñoz,Ecuador,19,CS Emelec,2027,350 mil €,Mediocentro ofensivo,Vibra Fútbol
Elian Pepinos,Ecuador,23,Imbabura SC,2024,200 mil €,Mediocentro ofensivo,Vibra Fútbol
Kevin Mina,Ecuador,18,CS Emelec U20,-,-,Delantero centro,Vibra Fútbol
Edu Arboleda,Ecuador,18,SD Aucas U20,-,-,Lateral derecho,Vibra Fútbol
Dylan Luque,Ecuador,18,Barcelona SC Guayaquil U20,-,-,Lateral izquierdo,Vibra Fútbol
Jairo Vélez,"Ecuador, Perú",29,Universidad César Vallejo,2026,700 mil €,Mediocentro ofensivo,Vibra Fútbol
Adrián Fernández,Paraguay,32,Alianza Atlético Sullana,2024,500 mil €,Delantero centro,Vibra Fútbol
Cris Martínez,"Paraguay, Chile",31,CD Huachipato,-,450 mil €,Extremo izquierdo,Vibra Fútbol
Marcos López,Perú,24,FC Copenhague,2025,"3,00 mill. €",Lateral izquierdo,Vibra Fútbol
Bryan Reyna,Perú,26,CA Belgrano,2026,"2,50 mill. €",Extremo izquierdo,Vibra Fútbol
Jairo Concha,Perú,25,Universitario de Deportes,2026,"1,00 mill. €",Mediocentro ofensivo,Vibra Fútbol
Kenji Cabrera,Perú,21,FBC Melgar,2025,800 mil €,Mediocentro ofensivo,Vibra Fútbol
Jhamir D'Arrigo,Perú,24,Club Alianza Lima,2027,650 mil €,Extremo izquierdo,Vibra Fútbol
Ricardo Lagos,Perú,28,Club Alianza Lima,2025,500 mil €,Lateral izquierdo,Vibra Fútbol
Juan Carlos Gonzáles,Perú,21,Asociación Deportiva Tarma,-,450 mil €,Extremo izquierdo,Vibra Fútbol
Franco Saravia,Perú,25,Club Alianza Lima,-,450 mil €,Portero,Vibra Fútbol
Jesús Pretell,Perú,25,Club Sporting Cristal,2026,425 mil €,Pivote,Vibra Fútbol
Stefano Olaya,Perú,21,Cusco FC,2024,400 mil €,Extremo izquierdo,Vibra Fútbol
Oslimg Mora,Perú,25,Club Atlético Grau,2024,400 mil €,Extremo derecho,Vibra Fútbol
Freddy Oncoy,Perú,24,Club Atlético Grau,2024,375 mil €,Mediocentro,Vibra Fútbol
Óscar Pinto,Perú,22,Comerciantes Unidos,2024,375 mil €,Extremo izquierdo,Vibra Fútbol
Piero Vivanco,Perú,24,Club Atlético Grau,2024,325 mil €,Extremo derecho,Vibra Fútbol
Eduardo Caballero,Perú,27,Comerciantes Unidos,-,300 mil €,Defensa central,Vibra Fútbol
Gabriel Delgado,Perú,22,Universidad San Martín de Porres,2024,250 mil €,Mediocentro,Vibra Fútbol
Fabio Rojas,Perú,25,Club Atlético Grau,-,250 mil €,Lateral derecho,Vibra Fútbol
Sebastián Gonzales,Perú,24,Comerciantes Unidos,-,250 mil €,Delantero centro,Vibra Fútbol
Ítalo Regalado,Perú,29,Comerciantes Unidos,-,225 mil €,Extremo derecho,Vibra Fútbol
Jherson Reyes,Perú,20,Club Atlético Grau,-,225 mil €,Lateral derecho,Vibra Fútbol
Aldair Vásquez,Perú,21,Club Atlético Grau,2024,200 mil €,Mediocentro ofensivo,Vibra Fútbol
Sebastián Aranda,Perú,21,CD Unión Comercio,2024,200 mil €,Lateral izquierdo,Vibra Fútbol
Flavio Alcedo,Perú,21,Universidad Técnica de Cajamarca,2024,200 mil €,Defensa central,Vibra Fútbol
Nicolás Figueroa,Perú,22,Club Atlético Grau,2024,200 mil €,Delantero centro,Vibra Fútbol
Franchesco Flores,Perú,23,Universidad César Vallejo,2024,175 mil €,Mediocentro ofensivo,Vibra Fútbol
Valentino Sandoval,Perú,21,Club Alianza Lima II,-,125 mil €,Mediocentro ofensivo,Vibra Fútbol
Gilmar Paredes,Perú,21,Club Sporting Cristal,2024,125 mil €,Lateral derecho,Vibra Fútbol
Gabriel Alfaro,Perú,21,Comerciantes Unidos,2024,100 mil €,Lateral izquierdo,Vibra Fútbol
Jack Carhuallanqui,Perú,20,CD Unión Comercio,-,100 mil €,Pivote,Vibra Fútbol
Ángel de la Cruz,Perú,22,Club Alianza Lima,2024,100 mil €,Portero,Vibra Fútbol
Álvaro Rojas,Perú,19,Universitario de Deportes,2024,100 mil €,Mediocentro,Vibra Fútbol
Farihd Ortega,Perú,20,Deportivo Coopsol,-,75 mil €,Lateral izquierdo,Vibra Fútbol
José López,Perú,21,Comerciantes FC,2024,75 mil €,Extremo derecho,Vibra Fútbol
Gian García,Perú,19,FBC Melgar,-,50 mil €,Mediocentro ofensivo,Vibra Fútbol
Jesús Huamán,Perú,18,Sport Boys Association,-,25 mil €,Extremo izquierdo,Vibra Fútbol
David Chicoma,Perú,18,Carlos A. Mannucci,2024,25 mil €,Mediocentro ofensivo,Vibra Fútbol
